,method,size_query,size_song,size_ratio
0,UpSameDown-multi_gram_5_10_set,147.02542372881356,1064.6632016632016,7.24135441790638
1,UpSameDown-ngram_10_set,24.06779661016949,234.57588357588358,9.746462768293755
2,UpSameDown-ngram_12_set,22.271186440677965,244.22037422037423,10.965755006850898
3,UpSameDown-ngram_5_set,22.47457627118644,93.15384615384616,4.1448543914607265
4,UpSameDown-ngram_8_set,25.45762711864407,203.45945945945945,7.9920826285673146
5,pitch_diff-multi_gram_5_10_set,160.135593220339,1506.8752598752599,9.409995801507232
6,pitch_diff-ngram_10_set,24.28813559322034,250.84407484407484,10.3278439747386
7,pitch_diff-ngram_12_set,22.364406779661017,249.17047817047816,11.141385533958477
8,pitch_diff-ngram_5_set,28.949152542372882,248.75675675675674,8.59288562567251
9,pitch_diff-ngram_8_set,26.26271186440678,252.07484407484407,9.598203162578768
